,period_day,weekday_weekend,month,weekday
0,morning,weekend,October,Sunday
1,morning,weekend,October,Sunday
2,morning,weekend,October,Sunday
3,morning,weekend,October,Sunday
4,morning,weekend,October,Sunday
5,morning,weekend,October,Sunday
6,morning,weekend,October,Sunday
7,morning,weekend,October,Sunday
8,morning,weekend,October,Sunday
9,morning,weekend,October,Sunday
10,morning,weekend,October,Sunday
11,morning,weekend,October,Sunday
12,morning,weekend,October,Sunday
13,morning,weekend,October,Sunday
14,morning,weekend,October,Sunday
15,morning,weekend,October,Sunday
16,morning,weekend,October,Sunday
17,morning,weekend,October,Sunday
18,morning,weekend,October,Sunday
19,morning,weekend,October,Sunday
20,morning,weekend,October,Sunday
21,morning,weekend,October,Sunday
22,morning,weekend,October,Sunday
23,morning,weekend,October,Sunday
24,morning,weekend,October,Sunday
25,morning,weekend,October,Sunday
26,morning,weekend,October,Sunday
27,morning,weekend,October,Sunday
28,morning,weekend,October,Sunday
29,morning,weekend,October,Sunday
30,morning,weekend,October,Sunday
31,morning,weekend,October,Sunday
32,morning,weekend,October,Sunday
33,morning,weekend,October,Sunday
34,morning,weekend,October,Sunday
35,morning,weekend,October,Sunday
36,morning,weekend,October,Sunday
37,morning,weekend,October,Sunday
38,morning,weekend,October,Sunday
39,morning,weekend,October,Sunday
40,morning,weekend,October,Sunday
41,morning,weekend,October,Sunday
42,morning,weekend,October,Sunday
43,morning,weekend,October,Sunday
44,morning,weekend,October,Sunday
45,morning,weekend,October,Sunday
46,morning,weekend,October,Sunday
47,morning,weekend,October,Sunday
48,morning,weekend,October,Sunday
49,morning,weekend,October,Sunday
50,morning,weekend,October,Sunday
51,morning,weekend,October,Sunday
52,morning,weekend,October,Sunday
53,morning,weekend,October,Sunday
54,morning,weekend,October,Sunday
55,morning,weekend,October,Sunday
56,morning,weekend,October,Sunday
57,morning,weekend,October,Sunday
58,morning,weekend,October,Sunday
59,morning,weekend,October,Sunday
60,morning,weekend,October,Sunday
61,morning,weekend,October,Sunday
62,morning,weekend,October,Sunday
63,morning,weekend,October,Sunday
64,morning,weekend,October,Sunday
65,morning,weekend,October,Sunday
66,morning,weekend,October,Sunday
67,morning,weekend,October,Sunday
68,morning,weekend,October,Sunday
69,morning,weekend,October,Sunday
70,morning,weekend,October,Sunday
71,morning,weekend,October,Sunday
72,morning,weekend,October,Sunday
73,morning,weekend,October,Sunday
74,morning,weekend,October,Sunday
75,morning,weekend,October,Sunday
76,morning,weekend,October,Sunday
77,morning,weekend,October,Sunday
78,morning,weekend,October,Sunday
79,morning,weekend,October,Sunday
80,morning,weekend,October,Sunday
81,morning,weekend,October,Sunday
82,morning,weekend,October,Sunday
83,morning,weekend,October,Sunday
84,morning,weekend,October,Sunday
85,morning,weekend,October,Sunday
86,afternoon,weekend,October,Sunday
87,afternoon,weekend,October,Sunday
88,afternoon,weekend,October,Sunday
89,afternoon,weekend,October,Sunday
90,afternoon,weekend,October,Sunday
91,afternoon,weekend,October,Sunday
92,afternoon,weekend,October,Sunday
93,afternoon,weekend,October,Sunday
94,afternoon,weekend,October,Sunday
95,afternoon,weekend,October,Sunday
96,afternoon,weekend,October,Sunday
97,afternoon,weekend,October,Sunday
98,afternoon,weekend,October,Sunday
99,afternoon,weekend,October,Sunday
100,afternoon,weekend,October,Sunday
101,afternoon,weekend,October,Sunday
102,afternoon,weekend,October,Sunday
103,afternoon,weekend,October,Sunday
104,afternoon,weekend,October,Sunday
105,afternoon,weekend,October,Sunday
106,afternoon,weekend,October,Sunday
107,afternoon,weekend,October,Sunday
108,afternoon,weekend,October,Sunday
109,afternoon,weekend,October,Sunday
110,afternoon,weekend,October,Sunday
111,afternoon,weekend,October,Sunday
112,afternoon,weekend,October,Sunday
113,afternoon,weekend,October,Sunday
114,afternoon,weekend,October,Sunday
115,afternoon,weekend,October,Sunday
116,afternoon,weekend,October,Sunday
117,afternoon,weekend,October,Sunday
118,afternoon,weekend,October,Sunday
119,afternoon,weekend,October,Sunday
120,afternoon,weekend,October,Sunday
121,afternoon,weekend,October,Sunday
122,afternoon,weekend,October,Sunday
123,afternoon,weekend,October,Sunday
124,afternoon,weekend,October,Sunday
125,afternoon,weekend,October,Sunday
126,afternoon,weekend,October,Sunday
127,afternoon,weekend,October,Sunday
128,afternoon,weekend,October,Sunday
129,afternoon,weekend,October,Sunday
130,afternoon,weekend,October,Sunday
131,afternoon,weekend,October,Sunday
132,afternoon,weekend,October,Sunday
133,afternoon,weekend,October,Sunday
134,afternoon,weekend,October,Sunday
135,afternoon,weekend,October,Sunday
136,afternoon,weekend,October,Sunday
137,afternoon,weekend,October,Sunday
138,afternoon,weekend,October,Sunday
139,afternoon,weekend,October,Sunday
140,afternoon,weekend,October,Sunday
