index  confidence   rules
 1     1.000        ['Saturday', 'January']=>['weekend']
 2     1.000        ['May', 'Monday']=>['weekday']
 3     1.000        ['Friday', 'June']=>['weekday']
 4     1.000        ['May', 'Tuesday']=>['weekend']
 5     1.000        ['Sunday', 'July']=>['weekday']
 6     1.000        ['Tuesday', 'October']=>['weekday']
 7     1.000        ['Saturday', 'November']=>['weekend']
 8     1.000        ['July', 'Tuesday']=>['weekday']
 9     1.000        ['October', 'Monday']=>['weekday']
 10    1.000        ['Sunday', 'February']=>['weekend']
 11    1.000        ['March', 'Wednesday']=>['weekday']
 12    1.000        ['December', 'Tuesday']=>['weekday']
 13    1.000        ['Saturday', 'February']=>['weekend']
 14    1.000        ['weekend', 'June']=>['Saturday']
 15    1.000        ['Thursday', 'June']=>['weekday']
 16    1.000        ['September', 'Friday']=>['weekday']
 17    1.000        ['Sunday', 'April']=>['weekend']
 18    1.000        ['July', 'Monday']=>['weekday']
 19    1.000        ['February', 'Tuesday']=>['weekday']
 20    1.000        ['November', 'Wednesday']=>['weekday']
 21    1.000        ['Tuesday', 'March']=>['weekday']
 22    1.000        ['Tuesday', 'November']=>['weekday']
 23    1.000        ['Saturday', 'September']=>['weekday']
 24    1.000        ['May', 'Wednesday']=>['weekend']
 25    1.000        ['July', 'evening']=>['weekday']
 26    1.000        ['August', 'Wednesday']=>['weekday']
 27    1.000        ['December', 'Thursday']=>['weekday']
 28    1.000        ['December', 'Friday']=>['weekday']
 29    1.000        ['October', 'Wednesday']=>['weekend']
 30    1.000        ['January', 'Friday']=>['weekday']
 31    1.000        ['Friday', 'March']=>['weekday']
 32    1.000        ['February', 'Monday']=>['weekday']
 33    1.000        ['Sunday', 'January']=>['weekend']
 34    1.000        ['December', 'Monday']=>['weekday']
 35    1.000        ['evening', 'Tuesday']=>['weekday']
 36    1.000        ['August', 'Thursday']=>['weekday']
 37    1.000        ['Sunday', 'June']=>['weekday']
 38    1.000        ['weekend', 'Thursday']=>['November']
 39    1.000        ['Sunday', 'November']=>['weekend']
 40    1.000        ['Sunday', 'December']=>['weekend']
 41    1.000        ['Saturday', 'December']=>['weekend']
 42    1.000        ['November', 'Monday']=>['weekday']
 43    1.000        ['Saturday', 'April']=>['weekday']
 44    1.000        ['January', 'Monday']=>['weekday']
 45    1.000        ['March', 'Monday']=>['weekday']
 46    1.000        ['Thursday', 'March']=>['weekday']
 47    1.000        ['February', 'Wednesday']=>['weekday']
 48    1.000        ['Sunday', 'March']=>['weekend']
 49    1.000        ['December', 'Wednesday']=>['weekday']
 50    1.000        ['Sunday', 'September']=>['weekday']
 51    1.000        ['weekend', 'September']=>['Monday']
 52    1.000        ['May', 'Thursday']=>['weekday']
 53    1.000        ['August', 'Tuesday']=>['weekend']
 54    1.000        ['February', 'Thursday']=>['weekday']
 55    1.000        ['February', 'Friday']=>['weekday']
 56    1.000        ['January', 'Tuesday']=>['weekday']
 57    1.000        ['January', 'Thursday']=>['weekday']
 58    1.000        ['weekend', 'July']=>['Saturday']
 59    1.000        ['Saturday', 'July']=>['weekend']
 60    1.000        ['Sunday', 'July', 'afternoon']=>['weekday']
 61    1.000        ['Tuesday', 'afternoon', 'October']=>['weekday']
 62    1.000        ['December', 'morning', 'Monday']=>['weekday']
 63    1.000        ['morning', 'November', 'Monday']=>['weekday']
