index  confidence   rules
 1     1.000        ['September', 'Friday']=>['weekday']
 2     1.000        ['Sunday', 'January']=>['weekend']
 3     1.000        ['Thursday', 'June']=>['weekday']
 4     1.000        ['Monday', 'January']=>['weekday']
 5     1.000        ['April', 'Saturday']=>['weekday']
 6     1.000        ['Sunday', 'June']=>['weekday']
 7     1.000        ['November', 'Saturday']=>['weekend']
 8     1.000        ['Monday', 'February']=>['weekday']
 9     1.000        ['December', 'Wednesday']=>['weekday']
 10    1.000        ['Thursday', 'weekend']=>['November']
 11    1.000        ['March', 'Tuesday']=>['weekday']
 12    1.000        ['Monday', 'November']=>['weekday']
 13    1.000        ['Thursday', 'August']=>['weekday']
 14    1.000        ['Sunday', 'December']=>['weekend']
 15    1.000        ['Saturday', 'July']=>['weekend']
 16    1.000        ['weekend', 'July']=>['Saturday']
 17    1.000        ['May', 'Tuesday']=>['weekend']
 18    1.000        ['November', 'Wednesday']=>['weekday']
 19    1.000        ['October', 'Wednesday']=>['weekend']
 20    1.000        ['Saturday', 'January']=>['weekend']
 21    1.000        ['Monday', 'October']=>['weekday']
 22    1.000        ['June', 'Friday']=>['weekday']
 23    1.000        ['December', 'Friday']=>['weekday']
 24    1.000        ['November', 'Tuesday']=>['weekday']
 25    1.000        ['Sunday', 'April']=>['weekend']
 26    1.000        ['March', 'Friday']=>['weekday']
 27    1.000        ['Thursday', 'December']=>['weekday']
 28    1.000        ['Monday', 'July']=>['weekday']
 29    1.000        ['Thursday', 'January']=>['weekday']
 30    1.000        ['Sunday', 'July']=>['weekday']
 31    1.000        ['December', 'Tuesday']=>['weekday']
 32    1.000        ['evening', 'Tuesday']=>['weekday']
 33    1.000        ['December', 'Saturday']=>['weekend']
 34    1.000        ['August', 'Tuesday']=>['weekend']
 35    1.000        ['Thursday', 'February']=>['weekday']
 36    1.000        ['Monday', 'March']=>['weekday']
 37    1.000        ['May', 'Wednesday']=>['weekend']
 38    1.000        ['Friday', 'February']=>['weekday']
 39    1.000        ['Thursday', 'March']=>['weekday']
 40    1.000        ['Sunday', 'March']=>['weekend']
 41    1.000        ['Saturday', 'February']=>['weekend']
 42    1.000        ['August', 'Wednesday']=>['weekday']
 43    1.000        ['weekend', 'September']=>['Monday']
 44    1.000        ['Tuesday', 'February']=>['weekday']
 45    1.000        ['September', 'Saturday']=>['weekday']
 46    1.000        ['Thursday', 'May']=>['weekday']
 47    1.000        ['March', 'Wednesday']=>['weekday']
 48    1.000        ['Sunday', 'September']=>['weekday']
 49    1.000        ['July', 'Tuesday']=>['weekday']
 50    1.000        ['Sunday', 'February']=>['weekend']
