index  confidence   rules
 1     1.000        ['Sunday', 'June']=>['weekday']
 2     1.000        ['Sunday', 'November']=>['weekend']
 3     1.000        ['March', 'Friday']=>['weekday']
 4     1.000        ['Saturday', 'November']=>['weekend']
 5     1.000        ['Monday', 'February']=>['weekday']
 6     1.000        ['weekend', 'September']=>['Monday']
 7     1.000        ['March', 'Sunday']=>['weekend']
 8     1.000        ['Monday', 'November']=>['weekday']
 9     1.000        ['December', 'Tuesday']=>['weekday']
 10    1.000        ['Thursday', 'December']=>['weekday']
 11    1.000        ['June', 'Friday']=>['weekday']
 12    1.000        ['Monday', 'October']=>['weekday']
 13    1.000        ['February', 'Wednesday']=>['weekday']
 14    1.000        ['Saturday', 'September']=>['weekday']
 15    1.000        ['December', 'Friday']=>['weekday']
 16    1.000        ['Sunday', 'February']=>['weekend']
 17    1.000        ['Thursday', 'weekend']=>['November']
 18    1.000        ['December', 'Monday']=>['weekday']
 19    1.000        ['Sunday', 'September']=>['weekday']
 20    1.000        ['August', 'Tuesday']=>['weekend']
 21    1.000        ['January', 'Tuesday']=>['weekday']
 22    1.000        ['Thursday', 'January']=>['weekday']
 23    1.000        ['Sunday', 'January']=>['weekend']
 24    1.000        ['July', 'Saturday']=>['weekend']
 25    1.000        ['July', 'weekend']=>['Saturday']
 26    1.000        ['December', 'Saturday']=>['weekend']
 27    1.000        ['Thursday', 'March']=>['weekday']
 28    1.000        ['March', 'Tuesday']=>['weekday']
 29    1.000        ['August', 'Thursday']=>['weekday']
 30    1.000        ['Thursday', 'February']=>['weekday']
 31    1.000        ['Monday', 'May']=>['weekday']
 32    1.000        ['May', 'Tuesday']=>['weekend']
 33    1.000        ['August', 'Wednesday']=>['weekday']
 34    1.000        ['March', 'Wednesday']=>['weekday']
 35    1.000        ['February', 'Friday']=>['weekday']
 36    1.000        ['October', 'Tuesday']=>['weekday']
 37    1.000        ['Wednesday', 'October']=>['weekend']
 38    1.000        ['December', 'Sunday']=>['weekend']
 39    1.000        ['Thursday', 'June']=>['weekday']
 40    1.000        ['Monday', 'January']=>['weekday']
 41    1.000        ['Tuesday', 'evening']=>['weekday']
 42    1.000        ['January', 'Friday']=>['weekday']
 43    1.000        ['Sunday', 'April']=>['weekend']
 44    1.000        ['Saturday', 'February']=>['weekend']
 45    1.000        ['July', 'Monday']=>['weekday']
 46    1.000        ['July', 'evening']=>['weekday']
 47    1.000        ['September', 'Friday']=>['weekday']
 48    1.000        ['weekend', 'June']=>['Saturday']
 49    1.000        ['July', 'Sunday']=>['weekday']
 50    1.000        ['February', 'Tuesday']=>['weekday']
 51    1.000        ['Thursday', 'May']=>['weekday']
 52    1.000        ['May', 'Wednesday']=>['weekend']
 53    1.000        ['April', 'Saturday']=>['weekday']
 54    1.000        ['January', 'Saturday']=>['weekend']
 55    1.000        ['November', 'Wednesday']=>['weekday']
 56    1.000        ['December', 'Wednesday']=>['weekday']
 57    1.000        ['July', 'Tuesday']=>['weekday']
 58    1.000        ['March', 'Monday']=>['weekday']
 59    1.000        ['November', 'Tuesday']=>['weekday']
 60    1.000        ['December', 'morning', 'Sunday']=>['weekend']
 61    1.000        ['weekend', 'evening', 'Friday']=>['November']
 62    1.000        ['morning', 'weekend', 'September']=>['Monday']
 63    1.000        ['morning', 'Wednesday', 'October']=>['weekend']
 64    1.000        ['morning', 'weekend', 'June']=>['Saturday']
 65    1.000        ['March', 'Sunday', 'afternoon']=>['weekend']
 66    1.000        ['morning', 'February', 'Friday']=>['weekday']
 67    1.000        ['Sunday', 'January', 'afternoon']=>['weekend']
 68    1.000        ['Thursday', 'January', 'afternoon']=>['weekday']
 69    1.000        ['Thursday', 'evening', 'December']=>['weekday']
