index  confidence   rules
 1     1.000        ['Sunday', 'September']=>['weekday']
 2     1.000        ['January', 'Monday']=>['weekday']
 3     1.000        ['Monday', 'March']=>['weekday']
 4     1.000        ['July', 'Saturday']=>['weekend']
 5     1.000        ['July', 'weekend']=>['Saturday']
 6     1.000        ['October', 'Tuesday']=>['weekday']
 7     1.000        ['January', 'Saturday']=>['weekend']
 8     1.000        ['Sunday', 'February']=>['weekend']
 9     1.000        ['December', 'Friday']=>['weekday']
 10    1.000        ['weekend', 'September']=>['Monday']
 11    1.000        ['Sunday', 'June']=>['weekday']
 12    1.000        ['evening', 'Tuesday']=>['weekday']
 13    1.000        ['December', 'Tuesday']=>['weekday']
 14    1.000        ['weekend', 'Thursday']=>['November']
 15    1.000        ['May', 'Wednesday']=>['weekend']
 16    1.000        ['Monday', 'May']=>['weekday']
 17    1.000        ['weekend', 'June']=>['Saturday']
 18    1.000        ['January', 'Friday']=>['weekday']
 19    1.000        ['Saturday', 'April']=>['weekday']
 20    1.000        ['Friday', 'June']=>['weekday']
 21    1.000        ['Monday', 'November']=>['weekday']
 22    1.000        ['July', 'Tuesday']=>['weekday']
 23    1.000        ['December', 'Thursday']=>['weekday']
 24    1.000        ['Sunday', 'April']=>['weekend']
 25    1.000        ['August', 'Wednesday']=>['weekday']
 26    1.000        ['January', 'Thursday']=>['weekday']
 27    1.000        ['March', 'Tuesday']=>['weekday']
 28    1.000        ['December', 'Sunday']=>['weekend']
 29    1.000        ['January', 'Tuesday']=>['weekday']
 30    1.000        ['December', 'Wednesday']=>['weekday']
 31    1.000        ['February', 'Tuesday']=>['weekday']
 32    1.000        ['March', 'Friday']=>['weekday']
 33    1.000        ['Thursday', 'May']=>['weekday']
 34    1.000        ['Saturday', 'September']=>['weekday']
 35    1.000        ['December', 'Monday']=>['weekday']
 36    1.000        ['August', 'Thursday']=>['weekday']
 37    1.000        ['Monday', 'July']=>['weekday']
 38    1.000        ['May', 'Tuesday']=>['weekend']
 39    1.000        ['Wednesday', 'October']=>['weekend']
 40    1.000        ['November', 'Tuesday']=>['weekday']
 41    1.000        ['February', 'Saturday']=>['weekend']
 42    1.000        ['Sunday', 'January']=>['weekend']
 43    1.000        ['March', 'Thursday']=>['weekday']
 44    1.000        ['December', 'Saturday']=>['weekend']
 45    1.000        ['November', 'Saturday']=>['weekend']
 46    1.000        ['evening', 'July']=>['weekday']
 47    1.000        ['Friday', 'September']=>['weekday']
 48    1.000        ['November', 'Wednesday']=>['weekday']
 49    1.000        ['March', 'Wednesday']=>['weekday']
 50    1.000        ['June', 'Thursday']=>['weekday']
 51    1.000        ['Sunday', 'March']=>['weekend']
 52    1.000        ['Sunday', 'July']=>['weekday']
 53    1.000        ['February', 'Wednesday']=>['weekday']
 54    1.000        ['Monday', 'October']=>['weekday']
 55    1.000        ['February', 'Friday']=>['weekday']
 56    1.000        ['Sunday', 'November']=>['weekend']
 57    1.000        ['February', 'Monday']=>['weekday']
 58    1.000        ['August', 'Tuesday']=>['weekend']
 59    1.000        ['February', 'Thursday']=>['weekday']
 60    1.000        ['weekend', 'September', 'morning']=>['Monday']
 61    1.000        ['August', 'afternoon', 'Tuesday']=>['weekend']
 62    1.000        ['March', 'Friday', 'afternoon']=>['weekday']
 63    1.000        ['July', 'Saturday', 'afternoon']=>['weekend']
 64    1.000        ['July', 'afternoon', 'weekend']=>['Saturday']
 65    1.000        ['August', 'Thursday', 'morning']=>['weekday']
 66    1.000        ['March', 'Wednesday', 'afternoon']=>['weekday']
 67    1.000        ['November', 'Saturday', 'morning']=>['weekend']
 68    1.000        ['Saturday', 'afternoon', 'April']=>['weekday']
 69    1.000        ['May', 'afternoon', 'Tuesday']=>['weekend']
 70    1.000        ['Monday', 'July', 'afternoon']=>['weekday']
 71    1.000        ['Monday', 'March', 'morning']=>['weekday']
 72    1.000        ['December', 'Wednesday', 'morning']=>['weekday']
 73    1.000        ['Sunday', 'June', 'afternoon']=>['weekday']
 74    1.000        ['Sunday', 'April', 'morning']=>['weekend']
 75    1.000        ['February', 'evening', 'Thursday']=>['weekday']
 76    1.000        ['March', 'Thursday', 'afternoon']=>['weekday']
 77    1.000        ['December', 'Tuesday', 'morning']=>['weekday']
 78    1.000        ['February', 'Wednesday', 'morning']=>['weekday']
 79    1.000        ['weekend', 'Thursday', 'afternoon']=>['November']
 80    1.000        ['May', 'Wednesday', 'afternoon']=>['weekend']
 81    1.000        ['July', 'Tuesday', 'morning']=>['weekday']
 82    1.000        ['February', 'Monday', 'afternoon']=>['weekday']
 83    1.000        ['Sunday', 'June', 'morning']=>['weekday']
 84    1.000        ['Thursday', 'June', 'morning']=>['weekday']
 85    1.000        ['December', 'Sunday', 'afternoon']=>['weekend']
 86    1.000        ['January', 'afternoon', 'Tuesday']=>['weekday']
 87    1.000        ['Monday', 'November', 'morning']=>['weekday']
 88    1.000        ['Friday', 'June', 'morning']=>['weekday']
 89    1.000        ['January', 'Monday', 'afternoon']=>['weekday']
 90    1.000        ['February', 'Thursday', 'afternoon']=>['weekday']
 91    1.000        ['December', 'Monday', 'afternoon']=>['weekday']
 92    1.000        ['Sunday', 'evening', 'April']=>['weekend']
 93    1.000        ['September', 'Friday', 'morning']=>['weekday']
 94    1.000        ['March', 'Friday', 'morning']=>['weekday']
 95    1.000        ['Sunday', 'February', 'afternoon']=>['weekend']
 96    1.000        ['February', 'Thursday', 'morning']=>['weekday']
 97    1.000        ['January', 'Friday', 'morning']=>['weekday']
 98    1.000        ['January', 'Monday', 'morning']=>['weekday']
 99    1.000        ['Monday', 'May', 'morning']=>['weekday']
 100   1.000        ['November', 'afternoon', 'Tuesday']=>['weekday']
 101   1.000        ['February', 'evening', 'Tuesday']=>['weekday']
 102   1.000        ['evening', 'March', 'Friday']=>['weekday']
 103   1.000        ['Monday', 'afternoon', 'October']=>['weekday']
 104   1.000        ['February', 'Wednesday', 'afternoon']=>['weekday']
 105   1.000        ['Sunday', 'afternoon', 'April']=>['weekend']
 106   1.000        ['February', 'Saturday', 'morning']=>['weekend']
 107   1.000        ['October', 'Wednesday', 'morning']=>['weekend']
 108   1.000        ['November', 'Tuesday', 'morning']=>['weekday']
 109   1.000        ['Monday', 'July', 'morning']=>['weekday']
 110   1.000        ['February', 'afternoon', 'Tuesday']=>['weekday']
 111   1.000        ['December', 'Wednesday', 'afternoon']=>['weekday']
 112   1.000        ['December', 'Monday', 'morning']=>['weekday']
 113   1.000        ['Sunday', 'February', 'morning']=>['weekend']
 114   1.000        ['November', 'Wednesday', 'afternoon']=>['weekday']
 115   1.000        ['Thursday', 'May', 'morning']=>['weekday']
 116   1.000        ['November', 'Wednesday', 'morning']=>['weekday']
 117   1.000        ['July', 'Saturday', 'morning']=>['weekend']
 118   1.000        ['weekend', 'July', 'morning']=>['Saturday']
 119   1.000        ['weekend', 'afternoon', 'September']=>['Monday']
 120   1.000        ['December', 'Friday', 'afternoon']=>['weekday']
 121   1.000        ['August', 'Tuesday', 'morning']=>['weekend']
 122   1.000        ['December', 'evening', 'Saturday']=>['weekend']
 123   1.000        ['December', 'evening', 'weekend']=>['Saturday']
 124   1.000        ['February', 'Monday', 'morning']=>['weekday']
 125   1.000        ['June', 'afternoon', 'Thursday']=>['weekday']
 126   1.000        ['December', 'Sunday', 'morning']=>['weekend']
 127   1.000        ['December', 'Thursday', 'afternoon']=>['weekday']
 128   1.000        ['Sunday', 'November', 'morning']=>['weekend']
 129   1.000        ['Sunday', 'January', 'afternoon']=>['weekend']
 130   1.000        ['February', 'Friday', 'afternoon']=>['weekday']
 131   1.000        ['Sunday', 'November', 'afternoon']=>['weekend']
 132   1.000        ['Monday', 'October', 'morning']=>['weekday']
 133   1.000        ['March', 'afternoon', 'Tuesday']=>['weekday']
 134   1.000        ['December', 'Saturday', 'afternoon']=>['weekend']
 135   1.000        ['Tuesday', 'May', 'morning']=>['weekend']
 136   1.000        ['weekend', 'June', 'afternoon']=>['Saturday']
 137   1.000        ['December', 'evening', 'Thursday']=>['weekday']
 138   1.000        ['April', 'Saturday', 'morning']=>['weekday']
 139   1.000        ['Saturday', 'afternoon', 'September']=>['weekday']
 140   1.000        ['Thursday', 'May', 'afternoon']=>['weekday']
 141   1.000        ['January', 'Saturday', 'afternoon']=>['weekend']
 142   1.000        ['October', 'afternoon', 'Tuesday']=>['weekday']
 143   1.000        ['Monday', 'November', 'afternoon']=>['weekday']
 144   1.000        ['December', 'Saturday', 'morning']=>['weekend']
 145   1.000        ['Friday', 'June', 'afternoon']=>['weekday']
 146   1.000        ['February', 'Tuesday', 'morning']=>['weekday']
 147   1.000        ['Wednesday', 'afternoon', 'October']=>['weekend']
 148   1.000        ['January', 'Tuesday', 'morning']=>['weekday']
 149   1.000        ['March', 'Thursday', 'morning']=>['weekday']
 150   1.000        ['Sunday', 'July', 'afternoon']=>['weekday']
 151   1.000        ['Sunday', 'September', 'morning']=>['weekday']
 152   1.000        ['Sunday', 'March', 'afternoon']=>['weekend']
 153   1.000        ['January', 'Thursday', 'morning']=>['weekday']
 154   1.000        ['February', 'Friday', 'morning']=>['weekday']
 155   1.000        ['May', 'Wednesday', 'morning']=>['weekend']
 156   1.000        ['evening', 'Friday', 'weekend']=>['November']
 157   1.000        ['Sunday', 'afternoon', 'September']=>['weekday']
 158   1.000        ['Monday', 'May', 'afternoon']=>['weekday']
 159   1.000        ['December', 'Friday', 'morning']=>['weekday']
 160   1.000        ['Monday', 'March', 'afternoon']=>['weekday']
 161   1.000        ['Friday', 'afternoon', 'September']=>['weekday']
 162   1.000        ['March', 'Wednesday', 'morning']=>['weekday']
 163   1.000        ['January', 'Saturday', 'morning']=>['weekend']
 164   1.000        ['November', 'Saturday', 'afternoon']=>['weekend']
 165   1.000        ['October', 'Tuesday', 'morning']=>['weekday']
 166   1.000        ['January', 'Friday', 'afternoon']=>['weekday']
 167   1.000        ['August', 'Thursday', 'afternoon']=>['weekday']
 168   1.000        ['September', 'Saturday', 'morning']=>['weekday']
 169   1.000        ['weekend', 'June', 'morning']=>['Saturday']
 170   1.000        ['July', 'afternoon', 'Tuesday']=>['weekday']
