index  confidence   rules
 1     0.875        ['Extra Salami or Feta', 'Salad']=>['Coffee']
 2     0.867        ['Toast', 'Pastry']=>['Coffee']
 3     0.857        ['Hearty & Seasonal', 'Sandwich']=>['Coffee']
 4     0.833        ['Salad', 'Sandwich']=>['Coffee']
 5     0.833        ['Cake', 'Vegan mincepie']=>['Coffee']
 6     0.816        ['Extra Salami or Feta']=>['Coffee']
 7     0.810        ['Keeping It Local']=>['Coffee']
 8     0.789        ['Scone', 'Cookies']=>['Coffee']
 9     0.773        ['Juice', 'Pastry']=>['Coffee']
 10    0.769        ['Cake', 'Salad']=>['Coffee']
 11    0.731        ['Spanish Brunch', 'Juice']=>['Coffee']
 12    0.714        ['Cake', 'Toast']=>['Coffee']
 13    0.714        ['Cake', 'Tea', 'Sandwich']=>['Coffee']
 14    0.704        ['Toast']=>['Coffee']
